Shop_id,Lng,Lat
S130,121.38956,31.0983
S131,121.38964,31.23461
S132,121.39022,31.10945
S133,121.39038,31.10741
S134,121.39076,31.02598
S135,121.39085,31.10988
S136,121.3912,31.11013
S137,121.39182,31.02617
S138,121.39203,31.02599
S139,121.39313,31.02568
S140,121.39364,31.21246
S141,121.39433,31.09185
S142,121.39598,31.22364
S143,121.39623,31.22315
S144,121.39683,31.2143
S145,121.39698,31.21457
S146,121.39755,31.12263
S147,121.39764,31.2148
S148,121.39771,31.20995
S149,121.39894,31.23008
S150,121.39983,31.20573
S151,121.39995,31.15749
S152,121.40071,31.32178
S153,121.40206,31.23149
S154,121.40445,31.20608
S155,121.4047,31.21251
S156,121.40519,31.23973
S157,121.40574,31.16138
S158,121.4062,31.21311
S159,121.40675,31.11574
S160,121.40706,31.15953
S161,121.40781,31.23153
S162,121.40811,31.21319
S163,121.40843,31.18371
S164,121.40908,31.23106
S165,121.40913,31.23236
S166,121.40944,31.23428
S167,121.40964,31.2436
S168,121.41011,31.01502
S169,121.41077,31.22713
S170,121.4108,31.22774
S171,121.41095,31.2453
S172,121.4112,31.16726
S173,121.41123,31.1691
S174,121.41208,31.21257
S175,121.41218,31.10035
S176,121.41302,31.17188
S177,121.41303,31.19915
S178,121.41308,31.20581
S179,121.41338,31.14613
S180,121.4135,31.1691
S181,121.41352,31.13797
S182,121.41378,31.20105
S183,121.41435,31.20022
S184,121.41451,31.23697
S185,121.41505,31.13701
S186,121.41522,31.27042
S187,121.41526,31.2076
S188,121.41547,31.20738
S189,121.41593,31.20774
S190,121.41613,31.13719
S191,121.41648,31.01381
S192,121.41733,31.1614
S193,121.41741,31.17183
S194,121.41777,31.2012
S195,121.41809,31.2365
S196,121.41838,31.13791
S197,121.41864,31.208
S198,121.41865,31.20147
S199,121.41899,31.13726
S200,121.41909,31.19145
S201,121.41917,31.1625
S202,121.41939,31.162
S203,121.41942,31.16187
S204,121.41986,31.01651
S205,121.42064,31.20483
S206,121.42135,31.23381
S207,121.42148,31.21509
S208,121.42161,31.23377
S209,121.42215,31.23222
S210,121.42257,31.21623
S211,121.42283,31.14511
S212,121.42292,31.21482
S213,121.42349,31.17749
S214,121.42351,31.25057
S215,121.42354,31.20958
S216,121.42412,31.19494
S217,121.42416,31.20752
S218,121.42448,31.2649
S219,121.42516,31.22589
S220,121.42537,31.2647
S221,121.42552,31.18647
S222,121.42609,31.14059
S223,121.42614,31.14569
S224,121.42616,31.14564
S225,121.42618,31.14584
S226,121.42626,31.14018
S227,121.42626,31.14025
S228,121.4263,31.14014
S229,121.42634,31.1458
S230,121.42674,31.2453
S231,121.42792,31.01633
S232,121.42797,31.16592
S233,121.42839,31.19474
S234,121.42845,31.19689
S235,121.42853,31.19719
S236,121.42886,31.01445
S237,121.42908,31.22278
S238,121.42915,31.20653
S239,121.42918,31.20663
S240,121.42932,31.01672
S241,121.42941,31.28463
S242,121.42942,31.24686
S243,121.42958,31.01679
S244,121.43083,31.28953
S245,121.43093,31.28455
S246,121.43108,31.13546
S247,121.43124,31.02343
S248,121.43144,31.1497
S249,121.43196,31.13725
S250,121.43196,31.20843
S251,121.43234,31.2165
S252,121.43235,31.01903
S253,121.43306,31.01278
S254,121.4333,31.23549
S255,121.43347,31.14309
S256,121.43373,31.22643
S257,121.43471,31.21599
S258,121.43481,31.22009
S259,121.43604,31.22512
S260,121.43635,31.22068
S261,121.43651,31.02597
S262,121.43652,31.18852
S263,121.43709,31.15035
S264,121.43796,31.17662
S265,121.43849,31.24515
S266,121.43855,31.32115
S267,121.43866,31.18916
S268,121.43941,31.22199
S269,121.43944,31.22566
S270,121.43974,31.27128
S271,121.44114,31.28757
S272,121.44248,31.1769
S273,121.44258,31.23412
S274,121.44267,31.15634
S275,121.44334,31.15607
S276,121.44338,31.24153
S277,121.44396,31.17057
S278,121.44535,31.17057
S279,121.4456,31.32542
S280,121.44574,31.33514
S281,121.44577,31.22292
S282,121.44596,31.19405
S283,121.44619,31.20077
S284,121.44638,31.19349
S285,121.44663,31.324
S286,121.44674,31.3239
S287,121.44708,31.12661
S288,121.4488,31.29898
S289,121.44917,31.27009
S290,121.44986,31.25758
S291,121.45017,31.03475
S292,121.4504,31.22866
S293,121.45104,31.18458
S294,121.45137,31.32968
S295,121.45156,31.28303
S296,121.45228,31.24918
S297,121.45289,31.03215
S298,121.45468,31.19914
S299,121.4548,31.21934
S300,121.45483,31.21929
S301,121.4558,31.04124
S302,121.45586,31.20353
S303,121.45589,31.3084
S304,121.45691,31.21989
S305,121.45796,31.27217
S306,121.45986,31.2024
S307,121.46005,31.03582
S308,121.46029,31.26144
S309,121.46039,31.2571
S310,121.4614,31.27443
S311,121.46178,31.20827
S312,121.4618,31.20055
S313,121.46213,31.19816
S314,121.46363,31.04444
S315,121.46631,31.2619
S316,121.46757,31.26544
S317,121.46782,31.22167
S318,121.46817,31.24417
S319,121.4699,31.25912
S320,121.47036,31.22562
S321,121.47146,31.19795
S322,121.47244,31.32033
S323,121.4737,31.23039
S324,121.47615,31.25225
S325,121.47734,31.23619
S326,121.47765,31.22363
S327,121.47863,31.23372
S328,121.47866,31.26724
S329,121.47957,31.27404
S330,121.47985,31.26607
S331,121.48033,31.28466
S332,121.48046,31.21357
S333,121.48059,31.20086
S334,121.48106,31.21361
S335,121.48203,31.26577
S336,121.48306,31.25494
S337,121.48355,31.23446
S338,121.48428,31.31144
S339,121.48524,31.2823
S340,121.48575,31.27932
S341,121.48651,31.30221
S342,121.48667,31.21646
S343,121.48723,30.91444
S344,121.48765,31.20438
S345,121.49081,31.27956
S346,121.49084,31.29562
S347,121.49135,31.29349
S348,121.49148,31.33195
S349,121.49267,31.28067
S350,121.49276,31.20665
S351,121.49554,31.29474
S352,121.49607,31.17008
S353,121.49616,31.29481
S354,121.49622,31.17447
S355,121.49661,31.22528
S356,121.4976,31.20809
S357,121.49832,31.16489
S358,121.49953,31.27624
S359,121.50016,31.27599
S360,121.50079,31.30097
S361,121.50084,31.17073
S362,121.50176,31.31619
S363,121.5018,31.2752
S364,121.50202,30.82997
S365,121.50286,31.26263
S366,121.50366,31.29426
S367,121.50457,31.30128
S368,121.505,31.14132
S369,121.5053,31.29518
S370,121.5056,31.27716
S371,121.506,30.83713
S372,121.50621,30.83431
S373,121.50623,31.29476
S374,121.50623,31.29489
S375,121.5064,31.29453
S376,121.50652,31.29448
S377,121.50659,31.29463
S378,121.50672,31.27681
S379,121.50681,31.29458
S380,121.50749,31.30034
S381,121.50759,31.29069
S382,121.50904,31.28123
S383,121.50906,30.83875
S384,121.5095,31.19503
S385,121.50955,31.29782
S386,121.50991,31.23652
S387,121.51004,31.19413
S388,121.51036,31.29003
S389,121.51094,30.82949
S390,121.51122,31.29067
S391,121.51191,31.2809
S392,121.51309,31.28875
S393,121.51332,31.29093
S394,121.5134,31.236
S395,121.5136,31.23212
S396,121.51363,31.15766
S397,121.51386,31.28822
S398,121.51416,31.29082
S399,121.51437,31.19235
S400,121.51497,31.30339
S401,121.51498,31.23585
S402,121.51505,31.20838
S403,121.51516,31.30344
S404,121.51554,31.23718
S405,121.51585,31.23646
S406,121.51617,31.30199
S407,121.51624,31.30366
S408,121.51639,31.27635
S409,121.51644,31.29056
S410,121.51647,31.23002
S411,121.51693,31.26671
S412,121.51758,31.23649
S413,121.5179,31.23396
S414,121.5181,31.22264
S415,121.51811,31.22196
S416,121.51844,31.23703
S417,121.52081,31.30977
S418,121.52089,31.32104
S419,121.52092,31.2241
S420,121.52144,31.23813
S421,121.52229,31.22457
S422,121.52265,31.30917
S423,121.5227,31.23589
S424,121.52281,31.30927
S425,121.52293,31.22744
S426,121.52302,31.21429
S427,121.52308,31.23604
S428,121.52357,31.25693
S429,121.52371,31.25704
S430,121.5243,31.21929
S431,121.52616,30.83278
S432,121.52655,31.28176
S433,121.52772,31.23119
S434,121.52777,31.23115
S435,121.52781,31.23111
S436,121.53094,31.21215
S437,121.53102,31.21458
S438,121.53311,31.32478
S439,121.53324,31.18262
S440,121.53488,31.19942
S441,121.53512,31.18295
S442,121.53683,31.29525
S443,121.5373,31.29562
S444,121.5379,31.14579
S445,121.53845,31.32403
S446,121.53863,31.27163
S447,121.53981,31.24479
S448,121.54142,31.24166
S449,121.54143,31.28182
S450,121.54193,31.24069
S451,121.54256,31.28571
S452,121.54317,31.20263
S453,121.54373,31.20254
S454,121.54395,31.23764
S455,121.54741,31.18345
S456,121.5475,31.24256
S457,121.54795,31.24207
S458,121.54857,31.29019
S459,121.54865,31.28928
S460,121.54885,31.28953
S461,121.55011,31.28955
S462,121.55149,31.29025
S463,121.55366,31.20912
S464,121.55367,31.28554
S465,121.55368,31.23295
S466,121.55444,31.19972
S467,121.55475,31.28619
S468,121.55507,31.25474
S469,121.5577,31.25365
S470,121.55971,31.27465
S471,121.55998,31.2509
S472,121.56157,31.24847
S473,121.56681,31.26281
S474,121.56888,31.226
S475,121.56987,31.26556
S476,121.56988,31.24112
S477,121.57035,31.24123
S478,121.5713,31.26513
S479,121.57139,31.26069
S480,121.57171,31.26646
S481,121.57191,31.15754
S482,121.57466,31.24592
S483,121.57774,31.16631
S484,121.58129,31.24806
S485,121.58263,31.26632
S486,121.58375,31.19981
S487,121.58604,31.2505
S488,121.58865,31.26966
S489,121.58897,31.25039
S490,121.58992,31.19381
S491,121.59012,31.19296
S492,121.59024,31.1903
S493,121.59056,31.19232
S494,121.59067,31.19191
S495,121.59129,31.26541
S496,121.59362,31.19107
S497,121.59443,31.19116
S498,121.59444,31.19177
S499,121.59477,31.19024
S500,121.59479,31.19017
S501,121.59532,31.20014
S502,121.59538,31.19119
S503,121.59579,31.25683
S504,121.59603,31.25677
S505,121.59737,31.2634
S506,121.59786,31.25439
S507,121.59804,31.19201
S508,121.60742,31.26372
S509,121.6076,31.2642
S510,121.60979,31.28027
S511,121.60984,31.28141
S512,121.61022,31.28284
S513,121.61044,31.28134
S514,121.6128,31.21631
S515,121.61298,31.20221
S516,121.61429,31.20529
S517,121.61479,31.19967
S518,121.6156,31.20223
S519,121.61606,31.20389
S520,121.61635,31.20363
S521,121.61717,31.21779
S522,121.62076,31.20271
S523,121.62116,31.20328
S524,121.62214,31.21902
S525,121.6239,31.22045
S526,121.63069,31.1797
S527,121.63071,31.17924
S528,121.63078,31.17822
S529,121.63192,31.19865
S530,121.63291,31.19929
S531,121.63313,31.19956
S532,121.63342,31.19951
S533,121.63635,31.20232
S534,121.63671,31.20242
S535,121.63794,31.20299
S536,121.63807,31.21757
S537,121.65461,31.27041
S538,121.65605,31.26744
S539,121.65685,31.27648
S540,121.65717,31.26252
S541,121.65747,31.27604
S542,121.6577,31.2728
S543,121.65773,31.2613
S544,121.65833,31.27422
S545,121.6585,31.27468
S546,121.65893,31.27355
S547,121.65904,31.27311
S548,121.67259,31.23416
S549,121.69451,31.19704
S550,121.75535,31.04231
S551,121.76306,31.04689
S552,121.76318,31.05107
S553,121.77481,31.04315
S554,121.77641,31.04935
S555,121.78078,31.04896
S556,121.78327,31.04844
S557,121.78351,31.04649
S558,121.784,31.04809
S559,121.78407,31.04582
S560,121.78464,31.04573
S561,121.78464,31.048
S562,121.7847,31.04818
S563,121.78477,31.04673
S564,121.78487,31.04806
S565,121.78487,31.04819
S566,121.78488,31.04783
S567,121.78493,31.04969
S568,121.78499,31.04798
S569,121.78499,31.04828
S570,121.78509,31.04606
S571,121.78521,31.04611
S572,121.7853,31.04779
S573,121.7855,31.04777
S574,121.78552,31.04594
S575,121.78564,31.04889
S576,121.78724,31.05068
S577,121.8964,30.88195
S578,121.89876,30.87946
S579,121.89883,30.87923
S580,121.89939,30.87997
S581,121.8996,30.88025
S582,121.90014,30.8797
S583,121.90036,30.87839
S584,121.90044,30.87929
S585,121.90046,30.87555
S586,121.90048,30.88014
S587,121.9009,30.88006
S588,121.90104,30.88016
S589,121.90128,30.87981
S590,121.90128,30.88052
S591,121.90163,30.88054
S592,121.90188,30.88081
S593,121.90201,30.88062
S594,121.90208,30.88019
S595,121.90218,30.88104
S596,121.90238,30.88173
S597,121.91226,30.88021
S598,121.91946,30.8845
